Temperature,Humidity,Rainfall,Wind Speed,Solar Radiation,Pressure,Population Density,Industrial Activity Index,Green Cover,Air Quality Index,Energy Consumption
26.23620357,46.15485729,145.9996622,12.76289137,3.793472247,1034.723658,7441.396511,0.042661102,67.27151167,269.2897894,2254.72286
43.52142919,43.30384674,36.90239912,9.185849071,2.568906651,999.4517044,8822.908563,0.82850462,20.16888337,276.79311,2694.385935
36.95981825,32.33077388,69.32793887,19.2899705,2.75815535,969.5465611,4685.480766,0.249307582,76.25246567,144.5930804,1423.674455
32.95975453,62.50866691,132.6561274,4.37956902,3.084026769,1023.664179,2962.869444,0.283937364,69.02568807,107.9076806,883.9814717
19.68055921,53.36369124,96.4178689,11.75712832,3.221920006,991.8678136,3256.581086,0.226245278,74.31973088,97.91526271,1001.712463
19.67983561,80.59906946,147.7142077,14.0042003,3.453570855,1009.462748,6999.787758,0.840083955,29.99510848,270.4882739,2098.291785
16.74250837,22.24767063,192.2415802,16.51128979,3.532760174,960.726529,5718.824537,0.978901995,33.48989574,107.8056306,1729.331364
40.98528437,65.07075493,23.30933754,8.139420609,4.734298073,1013.158399,4916.291897,0.755186651,42.89478042,182.7097617,1501.706096
33.03345035,73.4064215,141.9135433,13.73843815,5.057439145,987.3550489,2107.46338,0.82357786,25.69404666,132.9348208,651.0287679
36.24217733,73.16405984,46.06883113,6.064029428,3.853275249,983.418975,8767.011306,0.620500461,42.57958123,174.7338596,2627.659273
15.61753483,82.0251777,82.89534548,8.709521847,7.44377852,1047.991558,7832.10243,0.528774908,10.64411799,136.4417546,2355.29679
44.09729556,71.032362,6.572545159,17.91254262,5.31883834,993.2430643,1492.322157,0.721578005,71.42755997,123.237179,455.1137845
39.97327922,84.94670432,27.18147646,18.99815219,6.724861568,1017.803838,3737.145701,0.035762879,21.36058281,156.8307503,1147.012651
21.37017332,43.28596199,63.95545781,14.37634694,7.545426995,1012.772754,5467.107727,0.061400526,45.05934802,133.2313842,1643.475188
20.45474902,55.22465917,68.39716106,7.487037816,2.978810687,960.4303551,4597.952365,0.687273489,75.01785449,259.9228261,1368.967473
